7.9463 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.4547 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.4553 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8313dd40a0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8313dd4040>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8341728ee0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f834199b700>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.4555 	EXP 	window1: mouseVisible = True
9.4556 	EXP 	window1: backgroundImage = ''
9.4556 	EXP 	window1: backgroundFit = 'none'
9.4586 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.4586 	EXP 	window1: recordFrameIntervals = False
9.5377 	EXP 	window1: recordFrameIntervals = True
10.3707 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.3719 	EXP 	window1: mouseVisible = False
13.5764 	EXP 	pedestal_cursor_ibl: status = STARTED
13.5768 	EXP 	window1: mouseVisible = True
13.6240 	EXP 	Created fixation_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='fixation_object.png', interpolate=True, mask='circle', maskParams=None, name='fixation_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
13.6242 	EXP 	window1: mouseVisible = True
13.6576 	EXP 	Created fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='fixation_object.png', interpolate=True, mask='circle', maskParams=None, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
13.6579 	EXP 	window1: mouseVisible = True
13.6608 	EXP 	Created grating_l = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating_l', opacity=1.0, ori=0.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.35, 0.35]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.6609 	EXP 	window1: mouseVisible = True
13.6637 	EXP 	Created grating_r = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating_r', opacity=1.0, ori=0.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.35, 0.35]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.6638 	EXP 	window1: mouseVisible = True
13.6702 	EXP 	Created dot = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.0, name='dot', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.02, 0.02]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.6703 	EXP 	window1: mouseVisible = True
13.6705 	EXP 	window1: mouseVisible = True
13.6792 	EXP 	Created fdbck = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fdbck', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.6794 	EXP 	window1: mouseVisible = True
13.7242 	EXP 	Created break_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='break_text', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.7244 	EXP 	window1: mouseVisible = True
13.7257 	EXP 	Created countdown = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='countdown', opacity=1.0, ori=0.0, pos=array([ 0. , -0.1]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.7258 	EXP 	window1: mouseVisible = True
13.7476 	EXP 	Created outro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='outro_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0220 	EXP 	Imported nobias_block.xlsx as conditions, 1 conditions, 1 params
0.0227 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
0.0229 	EXP 	New trial (rep=0, index=0): {'biasPoint': 0.5}
0.0289 	EXP 	Imported conditions_pedestal.xlsx as conditions, 25 conditions, 2 params
0.0295 	EXP 	Created sequence: random, trialTypes=25, nReps=1, seed=None
0.0297 	EXP 	New trial (rep=0, index=0): {'contrastDelta': 0.02, 'baseContrast': 0.5}
0.0467 	WARNING 	t of last frame was 32.90ms (=1/30)
0.0467 	EXP 	fixation_2: foreColor = <psychopy.colors.Color: white, alpha=1.0>
0.0467 	EXP 	fixation_2: texRes = 128.0
0.0467 	EXP 	fixation_2: autoDraw = True
1.2314 	WARNING 	t of last frame was 40.46ms (=1/24)
1.2314 	EXP 	fixation_2: autoDraw = False
1.2314 	EXP 	fixation_2: autoDraw = False
1.2314 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
1.2314 	EXP 	fixation: texRes = 128.0
1.2314 	EXP 	grating_l: phase = array([188.95220383, 188.95220383])
1.2314 	EXP 	grating_r: phase = array([33.51116002, 33.51116002])
1.2314 	EXP 	fixation: autoDraw = True
1.2314 	EXP 	grating_l: autoDraw = True
1.2314 	EXP 	grating_r: autoDraw = True
1.2314 	EXP 	dot: autoDraw = True
1.2314 	EXP 	grating_l: tex = 'sin'
1.2314 	EXP 	grating_r: tex = 'sin'
2.9074 	EXP 	fixation: autoDraw = False
2.9074 	EXP 	grating_l: autoDraw = False
2.9074 	EXP 	grating_r: autoDraw = False
2.9074 	EXP 	dot: autoDraw = False
2.9074 	EXP 	fdbck: height = 0.05
2.9074 	EXP 	fdbck: height = 0.05
2.9074 	EXP 	fdbck: height = 0.05
2.9074 	EXP 	fdbck: text = 'Y'
2.9074 	EXP 	fdbck: autoDraw = True
3.3929 	EXP 	New trial (rep=0, index=1): {'contrastDelta': 0, 'baseContrast': 0.5}
