7.3135 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.0007 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.0020 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd223b1c220>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd223b1c1c0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd211884b50>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fd211b3a820>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.0021 	EXP 	window1: mouseVisible = True
9.0022 	EXP 	window1: backgroundImage = ''
9.0022 	EXP 	window1: backgroundFit = 'none'
9.0048 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.0048 	EXP 	window1: recordFrameIntervals = False
9.0840 	EXP 	window1: recordFrameIntervals = True
9.9169 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.9193 	EXP 	window1: mouseVisible = False
13.1126 	EXP 	pedestal_cursor_ibl: status = STARTED
13.1131 	EXP 	window1: mouseVisible = True
13.1653 	EXP 	Created fixation_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='fixation_object.png', interpolate=True, mask='circle', maskParams=None, name='fixation_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
13.1655 	EXP 	window1: mouseVisible = True
13.2011 	EXP 	Created fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='fixation_object.png', interpolate=True, mask='circle', maskParams=None, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
13.2013 	EXP 	window1: mouseVisible = True
13.2043 	EXP 	Created grating_l = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating_l', opacity=1.0, ori=0.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.2044 	EXP 	window1: mouseVisible = True
13.2071 	EXP 	Created grating_r = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating_r', opacity=1.0, ori=0.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.2073 	EXP 	window1: mouseVisible = True
13.2156 	EXP 	Created dot = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0, 0, 0]), lineWidth=1.0, name='dot', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.02, 0.02]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.2157 	EXP 	window1: mouseVisible = True
13.2160 	EXP 	window1: mouseVisible = True
13.2245 	EXP 	Created fdbck = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fdbck', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.2247 	EXP 	window1: mouseVisible = True
13.2748 	EXP 	Created break_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='break_text', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.2750 	EXP 	window1: mouseVisible = True
13.2763 	EXP 	Created countdown = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='countdown', opacity=1.0, ori=0.0, pos=array([ 0. , -0.1]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.2765 	EXP 	window1: mouseVisible = True
13.2981 	EXP 	Created outro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='outro_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0213 	EXP 	Imported bias_block.xlsx as conditions, 2 conditions, 1 params
0.0239 	EXP 	Created sequence: random, trialTypes=2, nReps=2, seed=None
0.0241 	EXP 	New trial (rep=0, index=0): {'biasPoint': 0.2}
0.0301 	EXP 	Imported conditions_pedestal.xlsx as conditions, 25 conditions, 2 params
0.0307 	EXP 	Created sequence: random, trialTypes=25, nReps=1, seed=None
0.0309 	EXP 	New trial (rep=0, index=0): {'contrastDelta': 0.1, 'baseContrast': 0.5}
0.0487 	WARNING 	t of last frame was 34.89ms (=1/28)
0.0487 	EXP 	fixation_2: foreColor = <psychopy.colors.Color: white, alpha=1.0>
0.0487 	EXP 	fixation_2: texRes = 128.0
0.0487 	EXP 	fixation_2: autoDraw = True
2.2717 	WARNING 	t of last frame was 44.92ms (=1/22)
2.2717 	EXP 	fixation_2: autoDraw = False
2.2717 	EXP 	fixation_2: autoDraw = False
2.2717 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
2.2717 	EXP 	fixation: texRes = 128.0
2.2717 	EXP 	grating_l: phase = array([185.48608703, 185.48608703])
2.2717 	EXP 	grating_r: phase = array([17.41177235, 17.41177235])
2.2717 	EXP 	fixation: autoDraw = True
2.2717 	EXP 	grating_l: autoDraw = True
2.2717 	EXP 	grating_r: autoDraw = True
2.2717 	EXP 	dot: autoDraw = True
2.2717 	EXP 	grating_l: tex = 'sin'
2.2717 	EXP 	grating_r: tex = 'sin'
